Metabolite,KEGG ID,KEGG Pathways
5-Aminovaleric acid,cpd:C00431,map00310;map00330;map00470;map01100;map01120
3-Hydroxybenzaldehyde,cpd:C03067,map00623;map01120;map01220
Chloric acid,cpd:C01327,map04742;map04974
1-Methyladenine,cpd:C02216,
Lumichrome,cpd:C01727,map00740
Sulfuric acid,cpd:C00059,map00230;map00261;map00270;map00920;map01100;map01110;map01120;map02010;map02024
L-ornithine,cpd:C00077,map00220;map00330;map00470;map00480;map00997;map00998;map01060;map01064;map01100;map01110;map01210;map01230;map02010;map04148
Azelaic acid,cpd:C08261,
Furfural,cpd:C11101,map00365;map01120
Phenylpyruvic acid,cpd:C00166,map00360;map00400;map00470;map00960;map01060;map01100;map01110;map01210;map01230
UMP,cpd:C00105,map00240;map01100;map01232;map01240
ADP-glucose,cpd:C00498,map00500;map00520;map01100;map01110;map01250
Hesperetin,cpd:C01709,map00941
Arecoline,cpd:C10129,
alpha-ketoglutaric acid,cpd:C00026,map00020;map00040;map00053;map00220;map00250;map00300;map00310;map00340;map00365;map00430;map00470;map00630;map00650;map00660;map00720;map00785;map00997;map00998;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map04066;map04727;map04922;map04964;map04976;map05230
Daminozide,cpd:C10996,
Gluconolactone,cpd:C00198,map00030;map01100;map01110;map01120;map01200
2'-Deoxyguanosine,cpd:C00286,map00230;map01100;map01232
delta-Valerolactone,cpd:C02240,
Cyclohexenone,cpd:C12262,
Gentisic acid,cpd:C00544,map00130;map00350;map00643;map01100;map01120;map01240
Thidiazuron,cpd:C18812,
L-isoleucine,cpd:C00407,map00280;map00290;map00460;map00960;map00966;map00970;map01060;map01064;map01100;map01110;map01210;map01230;map02010;map04974;map04978;map05131;map05230
Triethanolamine,cpd:C06771,map00564
Methyl Vanillic acid,cpd:C05616,map00627;map01120
Oxazolidinone,cpd:C06695,
S-Adenosyl-L-homocysteine,cpd:C00021,map00270;map01100;map01230;map01240;map05208
Diacetyl,cpd:C00741,map00650;map01110
10-Hydroxydecanoic acid,cpd:C02774,
12-Hydroxydodecanoic acid,cpd:C08317,
Scyllo-inositol,cpd:C01214,map00521;map01110
Pseudouridine 5'-phosphate,cpd:C01168,map00240;map01100
5'-methylthioadenosine,cpd:C00170,map00270;map00908;map01060;map01100
Anthranilic acid,cpd:C00108,map00380;map00400;map00405;map00621;map00627;map00996;map00997;map00998;map00999;map01060;map01061;map01063;map01070;map01100;map01110;map01120;map01220;map01230;map07110
Diaminopimelic acid,cpd:C00666,map00300;map00470;map01100;map01110;map01120;map01230
furoic acid,cpd:C01546,map00365;map01100;map01120
furan-2(5H)-one,cpd:C06316,map00053;map01100
Phosphocreatine,cpd:C02305,map00330;map01100
Beta- alanine,cpd:C00079,map00360;map00400;map00460;map00470;map00940;map00960;map00966;map00970;map00996;map00997;map00999;map01060;map01061;map01063;map01064;map01070;map01100;map01110;map01210;map01230;map02010;map04974;map04978;map05230
Methyl phosphate,cpd:C00129,map00900;map00997;map00998;map01060;map01062;map01070;map01100;map01110;map04216
2-hydroxypyridine,cpd:C02502,
Xanthine,cpd:C00262,map00230;map01100;map01232
Protocatechuic acid,cpd:C00230,map00362;map00400;map00623;map00624;map00627;map01053;map01061;map01100;map01110;map01120;map01220
1-Naphthaleneacetic acid,cpd:C18534,
L-pyroglutamic acid,cpd:C01879,map00480;map01100
2-hydroxybutyric acid,cpd:C05984,map00640
2-Oxoglutaric acid,cpd:C01127,map00630;map01100
Phosphoglycolic acid,cpd:C00988,map00630;map01100;map01110;map01200
Meso-Tartaric Acid,cpd:C00552,map00630;map01100
Isocitric acid,cpd:C00311,map00020;map00630;map00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map04922;map05230
Desthiobiotin,cpd:C01909,map00780;map01100;map01240
L-lysine,cpd:C00047,map00300;map00310;map00470;map00780;map00960;map00970;map00997;map01060;map01064;map01100;map01110;map01120;map01210;map01230;map02010;map04974
Dethiobiotin,cpd:C01909,map00780;map01100;map01240
Pentadecanoic acid,cpd:C13426,
Cytosine,cpd:C00380,map00240;map01100;map01232
2-aminoadipic acid,cpd:C00956,map00300;map00310;map00311;map01100;map01110;map01120;map01210;map01230
Palmitoleic acid,cpd:C08362,map00061;map01100
Itaconic acid,cpd:C00490,map00660;map01100
Picolinic acid,cpd:C03340,
N-Acetylmuramic acid,cpd:C01050,map00520;map00550;map01100;map01250
S-Adenosylmethionine,cpd:C00019,map00261;map00270;map00330;map00908;map00999;map01060;map01070;map01100;map01110;map01230;map01240;map04122;map04148;map05208
Homocitrulline,cpd:C02427,
3-Amino-5-Hydroxybenzoic acid,cpd:C12107,map01051;map01110
Stearic acid,cpd:C01530,map00061;map01040;map01060;map01100;map04745
Lactobionic acid,cpd:C22921,
Uracil,cpd:C00106,map00240;map00410;map00770;map01100;map01232
2-Keto-4-methylthiobutyric acid,cpd:C01180,map00270;map00470;map00966;map01060;map01100;map01110;map01210
D-Sedoheptulose 7-phosphate,cpd:C05382,map00030;map00540;map00710;map01100;map01110;map01120;map01200;map01230;map01250
Pyrophosphoric Acid,cpd:C00013,map00190;map05012;map05022
3-(4-Hydroxyphenyl)lactate,cpd:C03672,
Succinic acid,cpd:C00036,map00010;map00020;map00250;map00362;map00470;map00620;map00630;map00680;map00710;map00720;map00946;map00997;map00998;map00999;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01210;map01230;map01240;map02020;map04922;map04964;map05230
Octanal,cpd:C01545,
L-homoserine,cpd:C00263,map00260;map00270;map00300;map00920;map01100;map01110;map01120;map01230
L-serine,cpd:C00065,map00260;map00261;map00270;map00460;map00470;map00564;map00600;map00630;map00680;map00920;map00970;map00997;map00998;map01054;map01060;map01100;map01110;map01120;map01200;map01230;map01240;map01502;map02010;map04071;map04974;map04978;map05230
Nicotinic acid,cpd:C00153,map00760;map01100;map01240;map04212;map04977
Lactic acid,cpd:C00186,map00010;map00051;map00620;map00640;map00643;map01100;map01110;map01120;map04024;map04066;map04148;map04922;map05230
Aflatoxin G2,cpd:C16754,map00254;map01100;map01110
ADP-ribose,cpd:C00301,map00230;map01100
Picolinamide,cpd:C01950,
Hexanoic acid,cpd:C00047,map00300;map00310;map00470;map00780;map00960;map00970;map00997;map01060;map01064;map01100;map01110;map01120;map01210;map01230;map02010;map04974
Isomaltose,cpd:C00252,map00500;map01100
Oxooctadecanoic acid,cpd:C00869,
2-Isopropylmalic acid,cpd:C02504,map00290;map00620;map01100;map01110;map01210;map01230
5-Aminopentanoic acid,cpd:C00431,map00310;map00330;map00470;map01100;map01120
Myristic acid,cpd:C06424,map00061;map01100
Phloroglucinol,cpd:C02183,map00627;map00946;map01100;map01120
Glycerophosphoric acid,cpd:C00093,map00561;map00564;map01100;map01110;map02010;map05231
Oxypurinol,cpd:C07599,
Bisphenol B,cpd:C10269,
Simetryn,cpd:C14457,
4-guanidinobutanal,cpd:C02647,map00330;map01100
Fumaric acid,cpd:C00122,map00020;map00190;map00220;map00250;map00350;map00360;map00620;map00643;map00650;map00720;map00760;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map01220;map02020;map04922;map05200;map05211;map05230
1-Aminocyclopropane-1-carboxylic acid,cpd:C01234,map00270;map01060;map01070;map01100;map01110
Carnosine,cpd:C00386,map00340;map00410;map01100
UDP-monosaccharide,cpd:C05227,
N-Methylolacrylamide,cpd:C19456,
N-methyl-2-oxoglutaramic acid,cpd:C03623,
Phenol,cpd:C00102,
2'-Deoxycytidine,cpd:C00239,map00240;map01100;map01232
Allantoin,cpd:C01551,
Pyrogallic acid,cpd:C01108,map00627;map01120;map07216
L-tyrosine,cpd:C00082,map00130;map00261;map00350;map00360;map00400;map00401;map00460;map00680;map00730;map00940;map00950;map00965;map00966;map00970;map00997;map00998;map00999;map01055;map01059;map01060;map01063;map01100;map01110;map01210;map01230;map01240;map04728;map04916;map04917;map04974;map05012;map05030;map05031;map05034;map05230
L-malic acid,cpd:C00149,map00020;map00620;map00630;map00680;map00710;map00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;map01100;map01110;map01120;map01200;map02020;map04742;map04922;map04964;map05200;map05211;map05230
N6-Acetyl-L-lysine,cpd:C01997,
4-tert-Octylphenol,cpd:C14205,
4-Aminopyridine,cpd:C13728,
2-isopropylmalic acid,cpd:C02504,map00290;map00620;map01100;map01110;map01210;map01230
L-proline,cpd:C00148,map00330;map00332;map00333;map00401;map00404;map00470;map00970;map01100;map01110;map01230;map02010;map04974;map04978;map05230
Porphine,cpd:C09541,map00950;map01063
Methylsuccinic acid,cpd:C02614,map00660;map01100
L-leucine,cpd:C00123,map00280;map00290;map00966;map00970;map01060;map01065;map01100;map01110;map01210;map01230;map02010;map04150;map04974;map04978;map05131;map05230
Glycine,cpd:C00037,map00120;map00230;map00260;map00310;map00440;map00460;map00470;map00480;map00630;map00680;map00730;map00785;map00860;map00970;map01060;map01100;map01110;map01120;map01200;map01230;map01240;map01502;map02010;map02026;map04080;map04721;map04974;map04978;map05230
Metribuzin,cpd:C14332,
Cyclopentanone,cpd:C00557,
