descriptive_label,Label,Strain,Substrate,Phase,Replicate,Sample Shipped,Metabolomics,FTICR-MS,investigation_type,treatment,growth_phase,consensus_phase
pvhg_media_t0,2-Jan,N/A,PVHG Media t0,,X,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,,unknown
ex_pvhg_pvhg6_lag_1,9-Jan,PVHG6,PVHG,lag,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,lag,lag
ex_pvhg_pvhg6_lag_2,10-Jan,PVHG6,PVHG,lag,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,lag,lag
ex_pvhg_pvhg6_lag_3,11-Jan,PVHG6,PVHG,lag,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,lag,lag
ex_pvhg_wt_lag_1a,12-Jan,WT,PVHG,lag,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,lag,lag
ex_pvhg_wt_lag_2a,13-Jan,WT,PVHG,lag,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,lag,lag
ex_pvhg_wt_lag_3a,14-Jan,WT,PVHG,lag,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,lag,lag
ex_pvhg_pvhg6_early_stat_1,21-Jan,PVHG6,PVHG,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,early stationary,early_stat
ex_pvhg_pvhg6_early_stat_2,22-Jan,PVHG6,PVHG,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,early stationary,early_stat
ex_pvhg_pvhg6_early_stat_3,23-Jan,PVHG6,PVHG,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,early stationary,early_stat
ex_pvhg_wt_early_stat_1a,24-Jan,WT,PVHG,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,early stationary,early_stat
ex_pvhg_wt_early_stat_2a,25-Jan,WT,PVHG,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,early stationary,early_stat
ex_pvhg_wt_early_stat_3a,26-Jan,WT,PVHG,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,early stationary,early_stat
ex_pvhg_pvhg6_late_exp_1,Jan-33,PVHG6,PVHG,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,late exponential,late_exp
ex_pvhg_pvhg6_late_exp_2,Jan-34,PVHG6,PVHG,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,late exponential,late_exp
ex_pvhg_pvhg6_late_exp_3,Jan-35,PVHG6,PVHG,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,late exponential,late_exp
ex_pvhg_wt_late_exp_1a,Jan-36,WT,PVHG,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,late exponential,late_exp
ex_pvhg_wt_late_exp_2a,Jan-37,WT,PVHG,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,late exponential,late_exp
ex_pvhg_wt_late_exp_3a,Jan-38,WT,PVHG,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,late exponential,late_exp
ex_pvhg_pvhg6_mid_exp_1,Jan-45,PVHG6,PVHG,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,mid exponential,mid_exp
ex_pvhg_pvhg6_mid_exp_2,Jan-46,PVHG6,PVHG,mid,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,mid exponential,mid_exp
ex_pvhg_pvhg6_mid_exp_3,Jan-47,PVHG6,PVHG,mid,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,mid exponential,mid_exp
ex_pvhg_wt_mid_exp_1a,Jan-48,WT,PVHG,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,mid exponential,mid_exp
ex_pvhg_wt_mid_exp_2a,Jan-49,WT,PVHG,mid,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,mid exponential,mid_exp
ex_pvhg_wt_mid_exp_3a,Jan-50,WT,PVHG,mid,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",switchgrass lignin ,mid exponential,mid_exp
in_switchgrass_pvhg6_early_stat_1,1-A,PVHG6,Switchgrass,early,1,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_switchgrass_pvhg6_early_stat_3,1-B,PVHG6,Switchgrass,early,3,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_switchgrass_pvhg6_early_stat_2,1-C,PVHG6,Switchgrass,early,2,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_switchgrass_wt_early_stat_1,1-D,WT,Switchgrass,early,1,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_switchgrass_wt_early_stat_2,1-E,WT,Switchgrass,early,2,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_switchgrass_wt_early_stat_3,1-F,WT,Switchgrass,early,3,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_pvhg_pvhg6_early_stat_1,1-G,PVHG6,PVHG,early,1,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_pvhg_pvhg6_early_stat_2,1-H,PVHG6,PVHG,early,2,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_pvhg_pvhg6_early_stat_3,1-I,PVHG6,PVHG,early,3,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_pvhg_wt_early_stat_1a,1-J,WT,PVHG,early,1,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_pvhg_wt_early_stat_2a,1-K,WT,PVHG,early,2,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
in_pvhg_wt_early_stat_3a,1-L,WT,PVHG,early,3,pellet in 2 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",switchgrass-grown cells,early stationary,early_stat
ex_glc_wt_lag_1,1-Apr,WT,GLC,lag,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC model compound,lag,lag
ex_glc_wt_mid_exp_1,2-Apr,WT,GLC,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_glc_wt_lag_2,3-Apr,WT,GLC,lag,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_glc_wt_mid_exp_2,4-Apr,WT,GLC,mid,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_glc_wt_lag_3,5-Apr,WT,GLC,lag,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_glc_wt_mid_exp_3,6-Apr,WT,GLC,mid,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_glc_wt_late_exp_1,7-Apr,WT,GLC,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_glc_wt_late_exp_2,8-Apr,WT,GLC,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC model compound,late exponential,late_exp
ex_glc_wt_early_stat_1,9-Apr,WT,GLC,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_glc_wt_early_stat_3,10-Apr,WT,GLC,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC model compound,early stationary,early_stat
ex_glc_wt_late_exp_3,11-Apr,WT,GLC,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC model compound,late exponential,late_exp
ex_glc_wt_early_stat_2,12-Apr,WT,GLC,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
gresham_glc_t0,16-Apr,N/A,Gresham GLC t0,,X,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,unknown
ex_glc/phe_wt_lag_2,17-Apr,WT,GLC/PHE,lag,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC/PHE model compound,lag,lag
ex_glc/phe_wt_lag_3,18-Apr,WT,GLC/PHE,lag,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC/PHE model compound,lag,lag
ex_glc/phe_wt_lag_1,19-Apr,WT,GLC/PHE,lag,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_glc/phe_wt_mid_exp_2,20-Apr,WT,GLC/PHE,mid,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_glc/phe_wt_mid_exp_3,21-Apr,WT,GLC/PHE,mid,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC/PHE model compound,mid exponential,mid_exp
ex_glc/phe_wt_mid_exp_1,22-Apr,WT,GLC/PHE,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_glc/phe_wt_late_exp_2,23-Apr,WT,GLC/PHE,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC/PHE model compound,late exponential,late_exp
ex_glc/phe_wt_late_exp_3,24-Apr,WT,GLC/PHE,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC/PHE model compound,late exponential,late_exp
ex_glc/phe_wt_late_exp_1,25-Apr,WT,GLC/PHE,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,"metabolome, extracellular",GLC/PHE model compound,late exponential,late_exp
ex_glc/phe_wt_early_stat_2,26-Apr,WT,GLC/PHE,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_glc/phe_wt_early_stat_3,27-Apr,WT,GLC/PHE,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_glc/phe_wt_early_stat_1,28-Apr,WT,GLC/PHE,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
gresham_glc/phe_t0,Apr-32,N/A,Gresham GLC/PHE t0,,X,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,unknown
ex_phe_wt_lag_1,Apr-33,WT,PHE,lag,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_phe_wt_mid_exp_1,Apr-34,WT,PHE,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_phe_wt_lag_2,Apr-35,WT,PHE,lag,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_phe_wt_mid_exp_2,Apr-36,WT,PHE,mid,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_phe_wt_lag_3,Apr-37,WT,PHE,lag,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_phe_wt_mid_exp_3,Apr-38,WT,PHE,mid,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_phe_wt_late_exp_1,Apr-39,WT,PHE,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_phe_wt_late_exp_2,Apr-40,WT,PHE,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_phe_wt_late_exp_3,Apr-41,WT,PHE,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_phe_wt_early_stat_1,Apr-42,WT,PHE,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_phe_wt_early_stat_2,Apr-43,WT,PHE,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_phe_wt_early_stat_3,Apr-44,WT,PHE,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
gresham_phe_t0,Apr-48,N/A,Gresham PHE t0,,X,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,unknown
ex_pvhg_wt_lag_2b,Apr-49,WT,PVHG,lag,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_pvhg_wt_lag_3b,Apr-50,WT,PVHG,lag,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_pvhg_wt_lag_1b,Apr-51,WT,PVHG,lag,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,lag
ex_pvhg_wt_mid_exp_2b,Apr-52,WT,PVHG,mid,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_pvhg_wt_mid_exp_3b,Apr-53,WT,PVHG,mid,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_pvhg_wt_mid_exp_1b,Apr-54,WT,PVHG,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_pvhg_wt_late_exp_2b,Apr-55,WT,PVHG,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_pvhg_wt_late_exp_3b,Apr-56,WT,PVHG,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_pvhg_wt_late_exp_1b,Apr-57,WT,PVHG,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_pvhg_wt_early_stat_2b,Apr-58,WT,PVHG,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_pvhg_wt_early_stat_3b,Apr-59,WT,PVHG,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_pvhg_wt_early_stat_1b,Apr-60,WT,PVHG,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
